file_name,LENGTH_CENTRE,WIDTH_CENTRE,LENGTH_MINMAX,WIDTH_MINMAX,FIN_AREA,BODY_AREA,EYE_AREA,year,month,location,sample_index,sex
A1_Y3_M7_DSC_0210,21.1185,5.187,21.723,5.2845,36.507042,84.56950125,3.67055325,3,7,L,1,F
A3_Y10_M7_DSC_2403,25.085,5.684,25.491,5.8870000000000005,46.571216,112.379466,4.485894,10,7,L,3,F
A2_Y11_M7_DSC_9334,15.932,3.444,16.002,3.822,18.769744000000003,43.86303600000001,2.286144,11,7,L,2,M
A3_Y10_M1_DSC_9948,18.502,4.205,19.372,4.321000000000001,24.838935000000003,62.54601100000001,2.588598,10,1,T,3,F
A1_Y2_M7_DSC_3740,15.1515,3.549,15.5415,3.5685,18.8003205,41.17385025,1.978821,2,7,L,1,M
A2_Y8_M1_DSC_3981,19.9925,4.5925,20.625,5.0325,27.20609375,72.94258125,3.46589375,8,1,L,2,F
A3_Y2_M7_DSC_3575,27.258,6.4239999999999995,27.676,6.512,50.95697199999999,130.656768,5.549543999999999,2,7,L,3,F
A2_Y15_M1_DSC_8657,15.790500000000002,3.393,15.8485,3.48,22.16224225,41.207738500000005,1.8800555,15,1,L,2,F
A3_Y7_M1_DSC_0088,20.026,4.712,20.349,4.75,34.974041,70.274065,3.150447,7,1,C,3,F
A3_Y2_M7_DSC_4018,21.489,4.902,21.774,5.035,33.561809,79.917819,3.326254,2,7,U,3,F
A1_Y11_M7_DSC_8439,24.998,7.612500000000001,26.172500000000003,7.931500000000001,33.16168125,138.99669550000002,3.86881025,11,7,U,1,F
A2_Y7_M1_DSC_0253,24.092,5.396,24.339,5.586,37.471078,98.104999,4.41503,7,1,L,2,F
A1_Y11_M1_DSC_1546,23.55,5.115,23.985,5.325,35.870625,95.1309,3.753675,11,1,C,1,F
A3_Y15_M1_DSC_8859,24.975,5.58,25.155,5.745,38.50605,109.936575,4.939649999999999,15,1,U,3,F
A2_Y11_M1_DSC_2703,22.95,5.685,23.91,6.06,42.13125,125.4411,3.71385,11,1,U,2,F
A2_Y1_M7_DSC_4053,17.4365,3.8915,17.673,4.020499999999999,26.938080999999997,53.35058374999999,2.9117127499999995,1,7,L,2,M
A1_Y5_M1_DSC_1196,16.34,3.655,16.7485,3.697999999999999,23.86365625,47.299731249999994,2.1060109999999996,5,1,C,1,M
A1_Y6_M1_DSC_0026,25.272,5.9085,25.857,5.9865,49.581558,114.81382575,4.39759125,6,1,C,1,F
A3_Y9_M7_DSC_0940,17.108,3.731,17.29,3.887,22.485957,49.019802,2.376816,9,7,U,3,M
A3_Y9_M1_DSC_7812,18.015,4.305,18.39,4.425,18.5157,58.568175,3.08295,9,1,L,3,M
A1_Y6_M7_DSC_0169,19.299,4.578,19.845,4.83,39.417021000000005,67.020975,2.766834,6,7,L,1,M
A3_Y5_M1_DSC_0055,15.717,3.2565,15.873,3.354,20.551752,39.98366775,2.17464975,5,1,L,3,F
A2_Y15_M1_DSC_8523,24.012,5.712,24.18,5.784,37.85184,99.09216,3.214224,15,1,T,2,F
A1_Y5_M7_DSC_0058,22.705,5.13,23.047,5.4719999999999995,33.643034,90.748902,3.450077,5,7,U,1,F
A2_Y14_M7_DSC_7289,17.394,3.939,17.511,4.095,19.842459,54.00192199999999,2.533479,14,7,U,2,M
A3_Y4_M7_DSC_4480,18.585,4.578,18.9,4.767,33.186573,62.98626600000001,2.665404,4,7,T,3,M
A3_Y9_M7_DSC_9384,26.6325,6.2805,27.295,6.466,36.71433225,126.424663,4.5519845,9,7,C,3,F
A3_Y4_M1_DSC_0030,23.3285,5.92,25.3265,6.401,45.29576074999999,114.254002,4.1747654999999995,4,1,C,3,F
A2_Y7_M7_DSC_6141,15.471,3.942,15.9705,4.185,28.42462125,47.54301074999999,2.96830575,7,7,C,2,M
A2_Y7_M7_DSC_0041,25.061,5.984999999999999,25.441,6.232,43.291842,113.645327,4.44391,7,7,T,2,F
A1_Y4_M1_DSC_0211,18.411,4.332,18.753,4.617,23.92708,60.396744,2.676454,4,1,L,1,F
A2_Y4_M1_DSC_0017,23.655,5.529,24.092,5.757,51.478961,100.554023,3.846816,4,1,L,2,F
A3_Y8_M1_DSC_3594,15.2905,3.021,15.6615,3.3125,16.879281,36.609697,2.2851215,8,1,C,3,F
A3_Y11_M7_DSC_9445,22.33,5.348,22.792,5.404,32.31354,92.541988,3.4460720000000005,11,7,L,3,F
A3_Y2_M1_DSC_2647,25.4405,5.0635,26.0555,5.3505,46.29474,105.207066,4.14576625,2,1,U,3,F
A2_Y5_M7_DSC_0075,28.291,7.1819999999999995,29.393,7.733,46.787405,170.594521,5.827984,5,7,U,2,F
A2_Y9_M7_DSC_0185,18.0,3.85,18.1,4.0,21.076875000000005,54.18125000000001,2.4318750000000007,9,7,L,2,F
A2_Y3_M1_DSC_7581,21.865499999999997,5.890999999999999,22.940499999999997,6.063,47.25581749999999,96.92458,3.8357505,3,1,U,2,F
A1_Y9_M1_DSC_9429,19.994,4.7059999999999995,20.67,4.862,28.066168,73.939528,2.18348,9,1,C,1,F
A3_Y8_M7_DSC_5253,16.8345,4.104,17.4015,4.1985,19.354403249999997,53.11038375,2.6898277499999996,8,7,L,3,F
A3_Y9_M7_DSC_9587,19.747,4.277,19.955,4.367999999999999,23.96589,64.33323,2.761122,9,7,T,3,F
A2_Y6_M7_DSC_0183,17.537,4.2749999999999995,17.841,4.351,32.906594,57.249907,2.71833,6,7,T,2,M
A1_Y15_M7_DSC_6724,14.539,3.0845,14.7095,3.193,12.277736,33.61938375,2.21294275,15,7,C,1,F
A3_Y10_M7_DSC_1722,18.6,4.526,19.189,4.681,31.334606249999997,65.226914,3.0204229999999996,10,7,T,3,M
A3_Y7_M7_DSC_8775,22.0995,5.6025,23.031,5.697,40.05253575,94.3993035,3.3763634999999996,7,7,U,3,F
A1_Y9_M7_DSC_9374,17.9955,4.3065,18.225,4.5765,31.513941,61.16000174999999,2.33772075,9,7,T,1,M
A1_Y3_M7_DSC_6288,18.354,4.085,18.544,4.161,26.83313,58.727841,2.42592,3,7,U,1,M
A1_Y1_M1_DSC_6279,25.676,6.636,27.132,7.0840000000000005,52.48507600000001,135.941288,3.704792,1,1,U,1,F
A1_Y6_M1_DSC_0156,20.67,4.8945,21.177,5.1285,32.22732825,76.47549975,3.025269,6,1,U,1,F
A1_Y7_M1_DSC_0279,22.876,5.718999999999999,23.37,5.814,40.242114,97.967097,3.47643,7,1,U,1,F
A3_Y3_M1_DSC_6870,28.619999999999997,7.2225,29.52,7.4475,62.40189375,156.73449374999998,4.76026875,3,1,C,3,F
A3_Y0_M7_DSC_36942146,16.383,3.526,16.6195,3.697999999999999,17.8936975,45.080006749999995,2.1804332499999997,0,7,L,3,F
A2_Y10_M7_DSC_0945,17.8095,4.0765,18.197,4.371,25.921052999999997,58.02205675,2.536079,10,7,C,2,M
A3_Y8_M1_DSC_4229,22.7975,5.5825000000000005,23.76,5.7475,38.52035,98.64298125,4.19340625,8,1,L,3,F
